,TIME,DATASET,FEAT1,ENTITY,NDSIG1,NDSIG2,NDNON1,NDNON2,CHIFEAT,CATSIG1,CATNON2,BATCH1,BATCH2,LONG1
4_2,2,1,545,4,16.705577720280466,6.8918806190590605,11.080800660299115,26.162504016159893,2.1152421633490506,b,1,26.09227865690795,19.248538375913093,11.321185069736265
4_4,4,1,422,4,13.865088016482181,9.913696220638514,9.96673334023342,15.05935898619816,4.678165342214074,b,3,17.68341716232816,20.846359636780516,15.606911008932585
4_6,6,1,334,4,4.588236139063619,10.99681372624097,8.666779343415252,18.106632530850316,3.301485764268852,b,3,21.856531912947837,21.049662613756983,17.788153240049965
4_8,8,1,381,4,9.404422328539045,11.709830032543664,8.037438926878309,17.44129304586746,2.713072018620807,b,1,18.12212811530813,22.112933645231656,18.342739085352285
4_10,10,1,396,4,8.527584040156233,12.615818483010202,9.891055675563184,19.596151302563666,1.0787121182843564,b,1,21.66967222229096,18.772866819429204,23.56549330157557
5_0,0,1,476,5,7.875459148044881,8.632900319252002,9.925367935582486,23.614180384177573,1.7229642248250472,b,1,21.928001213701858,19.459355601231415,9.349919060774644
5_2,2,1,484,5,10.846909806274272,9.72354869589942,8.195858579311379,24.78100198905652,3.3814364648505655,b,2,16.720864796958526,19.844490508101366,11.600215284702163
5_4,4,1,349,5,6.80245139404563,10.295193160771882,10.927634244744459,14.34771804619117,1.271077351916411,b,3,24.153822110703032,20.205765785477976,14.675162210930083
5_6,6,1,301,5,9.143559322954369,13.97242419498118,10.81826400798941,16.401234283072483,0.8183427560540046,b,1,18.486159003608584,19.580273812729047,19.11110830651349
5_8,8,1,181,5,13.219490053337843,10.376588362881611,9.6956119803172,26.15930792960281,0.009235945948101655,b,3,24.46734802771652,19.633444770693565,17.007015974960837
5_10,10,1,320,5,9.914159180877352,16.15716338948298,8.99541060396493,19.4569615217353,0.4716918000699863,b,2,21.72460710681426,18.469325367025117,21.74813200636177
6_0,0,1,486,6,11.850649231541398,13.07028635089302,9.381945429465265,16.41718640845972,0.14283199167878047,a,2,23.362912895288105,19.681689759676697,7.743731990013155
6_2,2,1,443,6,4.1798551762139535,6.97940768360458,11.013660890050415,24.55275531919058,0.031032933121006936,b,2,19.443235676200832,19.31583541149971,10.298287210666489
6_4,4,1,482,6,8.128063615460194,13.911399245000998,10.614417761559212,11.50062664494453,2.01952889440582,b,2,15.40733785280188,20.300257498320732,13.707099474187968
6_6,6,1,470,6,8.23549970481348,14.772028650268453,9.774638568345491,17.029303997114557,0.18507210675498442,b,2,22.564031334628616,21.655530517539074,19.060526726314496
6_8,8,1,452,6,9.386503225312469,15.284011014314583,10.685337219956882,28.341031626123154,0.5534240590123091,b,2,16.859086962403065,19.942036301630935,17.2963507967185
6_10,10,1,278,6,6.491531987655325,7.319901038704528,10.469748190245419,15.484851310985842,2.944088778083223,a,3,22.81952943823638,20.28869863534488,23.998570580749718
7_0,0,1,334,7,5.5198844644252185,12.935237594212898,8.690407260082026,20.097949973156254,0.15740808643530443,b,1,24.182778526016083,19.97231370727016,13.799726125108633
7_2,2,1,311,7,11.627905825013189,13.095276891615349,11.682697444581338,21.863886547647247,0.5401614814153411,a,2,17.744332540542324,18.4991370790164,10.77375597851693
7_4,4,1,388,7,12.121309270533686,7.681854667599355,10.831696182112939,14.24172236647398,3.420574338526581,b,1,21.758051014523534,19.38322442466007,16.09115117405355
7_6,6,1,316,7,8.078623316223227,7.840406389659147,11.879794234460478,20.330367587115166,1.955500863696403,b,3,22.236451323023687,20.01021833280689,17.76711587826077
7_8,8,1,190,7,6.440256228957461,7.668198324174103,9.972585725406566,24.35427144212249,0.10360144147756994,b,3,18.991179876868856,19.491693268308257,16.234322112417917
7_10,10,1,79,7,9.810636863030735,7.872829711228373,8.56981532238329,15.95818335464859,3.328322357148131,b,2,19.31589996414552,21.073731855862054,21.612273265849673
8_0,0,1,652,8,10.64154036997047,9.675410008901137,9.452970209414223,22.795018607658555,1.4752768591516936,b,2,17.685474138280586,17.730281610975045,9.708304806149377
8_2,2,1,462,8,11.977404305564166,3.34327586460015,10.080634157606616,22.084912585350235,1.7559469114552764,b,2,19.290835271603143,19.52206044128571,10.69274849846732
8_4,4,1,573,8,8.916181906373183,10.763377418366655,10.217278276338403,23.14667316543449,1.469655162377831,b,1,17.015006274941317,20.717702138607837,14.716469097682198
8_6,6,1,466,8,11.148589312705734,9.569695864765398,9.634112385647052,25.424931083765422,0.9346559381349161,b,3,19.970805236924008,19.546952467534037,15.541182200679756
8_8,8,1,323,8,11.420580073810884,9.422609140657876,9.221136795955442,20.275225791327596,1.1467588359870655,c,1,20.12387471084395,19.61168037733003,19.0508904726978
8_10,10,1,425,8,10.046703599066843,14.204034334670137,11.199399835448151,11.70823898900555,0.12139613636267989,a,3,22.488194564192227,18.293437863854816,23.149753895259774
9_0,0,1,539,9,15.002174561558553,5.806919227930826,9.902122239143416,18.69865986704214,0.6575153176331514,c,3,19.22017924102493,21.13053140096664,7.758558163018947
9_2,2,1,465,9,8.930568808615899,8.00437161730825,11.162638956194545,24.32670452187361,5.650959428300186,b,1,22.21283861653296,18.093260805696993,11.891413345892675
9_4,4,1,481,9,7.212656952428371,5.853649129856944,9.760460045507466,9.752345004585063,3.9657732682586495,a,3,22.35072631708538,18.819805534896023,15.730703620098359
9_6,6,1,324,9,8.09054210936437,11.00207992894215,9.405215457133364,20.9362988284306,1.2232036497130259,b,2,20.09382687499371,18.3448708242847,17.930595742261573
9_8,8,1,328,9,9.762751385333237,12.54135170635811,9.090088273405907,18.087029735455776,0.545473991630369,b,1,20.007803452587286,19.980187080815174,17.664498804886534
9_10,10,1,205,9,8.942194377944515,12.14738138501837,10.716751283496052,18.36746526642233,1.164254116622745,b,1,20.044358013080117,18.68720888833146,23.0459224223999
10_0,0,1,489,10,12.334755294647495,8.40916275200966,9.12595248421814,28.064308482498504,0.7755678890751488,b,1,21.76071091961702,20.042225121095843,6.682802244633187
10_2,2,1,416,10,12.917144410121931,10.318724151955578,10.37061342698744,17.159794575641214,0.5415817182418411,b,2,21.22784528067461,19.67311168496727,11.134408705209246
10_4,4,1,434,10,14.370394214224792,6.285194915293419,12.349249091818201,18.925479360984347,6.41366413069755,c,1,20.938422770335674,20.682386263254386,13.826991786817645
10_6,6,1,349,10,6.0772888906332225,9.9866038349437,9.903478201885923,24.043242539772265,0.22961900408077643,b,1,18.368772617743346,18.092444389802097,17.42255963204183
10_8,8,1,247,10,12.031582559839741,14.568669102360479,9.990862490753203,19.83703713639236,0.9624481318972326,b,3,20.230272091953047,20.489650497138147,18.613068170238908
10_10,10,1,176,10,11.925318489362638,15.433724255315006,10.085013344107026,17.560848042361524,5.499157128795443,b,1,20.524198149437943,21.028729089675338,19.678151278794942
11_0,0,1,428,11,9.309523779309517,10.525303725084164,11.73712448838811,24.82721210987957,2.3517688854603054,b,1,19.34576632789115,19.859093287315833,8.278303994167118
11_2,2,1,349,11,7.240364389446855,11.164911072938573,8.71747433166372,21.818625395604982,0.15460854498183454,b,3,21.157425196714048,20.444369082666412,12.437388685568955
11_4,4,1,359,11,8.51045147219336,8.086125908514234,11.227743498205557,20.35484561100346,1.4036492019356785,b,3,18.387401345537512,20.60202462684176,16.305611535662525
11_6,6,1,336,11,13.728449011828776,13.966344907243043,10.66684729261164,18.735971744058247,3.7272999083363754,b,2,21.21708248169925,20.787704869227746,15.245475400886013
11_8,8,1,290,11,7.943668069916569,16.83489388806553,11.590487989249839,16.42271067326071,2.739157547690342,c,3,21.44072101011433,20.779327299409115,19.22921216635747
11_10,10,1,275,11,9.231840074854597,11.40803503473477,9.879256908953009,15.98160999967611,0.3606230258056104,b,2,18.00509097695408,21.2857836186708,23.637746157444695
12_0,0,1,607,12,8.828531453899231,5.396320750627837,9.720251880065096,10.545088641516486,5.088740932167822,b,3,14.93363961728447,21.023937978710574,8.410694593331405
12_2,2,1,392,12,12.995992625896152,11.52747218929509,9.395142846905788,19.747914874482003,3.424853922673864,a,3,21.763343886328837,20.07467646715109,13.17430238455327
12_4,4,1,522,12,12.08589398511418,17.333652725114923,11.31916570872375,22.229117636117078,0.694678564634013,b,2,21.479484897648852,19.97758124408751,16.54302851813149
12_6,6,1,266,12,11.169360948852365,10.868050841215624,11.269897754514353,12.756799302559411,2.6851011345986535,b,1,20.93079278274253,18.83220226244366,17.543948372516276
12_8,8,1,351,12,8.615067987484533,10.755478394049778,10.392556882952052,22.50942937749114,0.38297323148702683,b,3,25.839523819542364,22.235894022735156,18.91306196126714
12_10,10,1,332,12,9.427196197269332,11.05806519840408,9.897385845491046,20.31378266858548,1.888757352770535,a,3,21.32703109198519,20.151388809462276,23.05838122370514
13_0,0,1,475,13,12.761443419098748,9.367871049099469,9.152542517056418,15.52830407748888,4.044589770328692,b,2,21.384223426554396,19.04903182056649,8.99354278840876
13_2,2,1,426,13,10.948589583396318,7.7632434706273905,8.456960929608485,22.135030730456123,2.9156587594682937,c,1,20.795410870789638,20.912276104218428,11.428171487371026
13_4,4,1,417,13,9.808579525721857,12.04201351490094,9.773413021592573,20.433830699676854,0.06852408799325115,b,2,21.63991055811356,19.69264674276056,14.980626698137756
13_6,6,1,340,13,13.876286269351954,12.880856374929554,11.025440830234588,19.27468062839138,0.02017447736820227,b,1,21.584827001274025,21.49626134378492,18.798277250636584
13_8,8,1,315,13,9.431244298580067,11.417291776204474,8.732800939941535,18.04306285415984,0.3509831079683906,b,1,19.51249036077887,20.541256419413592,17.750530251016336
13_10,10,1,247,13,3.7255015277765082,2.8764568851470953,9.158242213088192,10.812518146500132,0.33981846367590746,b,1,18.6410064258854,20.718315536734497,20.393623989655882
14_0,0,1,567,14,9.75231059946023,10.376253538864205,11.750776996513276,21.674299128034967,1.9623484746616535,b,1,17.258528415410844,19.943867169748994,5.6212489995404065
14_2,2,1,421,14,12.743181900277792,7.025158930563363,10.330362035021807,19.634217678066296,4.414253026101551,b,2,22.625247233836117,21.42679059006959,8.729462358903925
14_4,4,1,306,14,16.262479006893226,10.293513827903553,9.690150514729142,22.921890858799838,3.7860640681043516,b,1,17.552699322480883,18.756646796942018,15.514208690950541
14_6,6,1,289,14,11.052471886370395,10.606025788750157,8.263083365151422,26.1974429630822,3.0660808871452554,b,3,18.077668656695337,21.243265570737133,18.65306329815086
14_8,8,1,338,14,14.255747200793326,5.2458419611638,8.9273222407612,19.45431730731078,2.1191665994715314,b,1,16.815768031671944,20.79920333760356,17.688383585642526
14_10,10,1,275,14,5.892027577349974,11.133277561395905,10.91205407681345,25.021090026230567,2.993638375157812,b,3,20.676145865248902,19.28760176411692,23.16981931820321
15_0,0,1,538,15,9.833500025707231,10.359388594918824,9.92912757368603,22.680724684704817,5.075186120346241,b,1,20.89666785766022,19.0413349772079,7.093338127787959
15_2,2,1,425,15,10.740479687503692,5.773836883424106,8.992844595645812,25.166392363161474,2.7672495867769435,b,3,19.511180149944405,21.513791882399207,11.374170142517574
15_4,4,1,437,15,9.845628662846165,8.369970727501812,8.9116009253976,19.45679524850833,0.6647348349022502,b,2,20.612234787946274,19.78899645364842,16.816102097685413
15_6,6,1,355,15,10.371070904127514,7.071624121886786,9.270239157276754,17.891693333506595,1.3632136996118491,b,2,18.941108495978572,21.136958470421746,16.395646897716023
15_8,8,1,357,15,10.171592918923478,5.764224545832313,9.400795342435208,21.830570293635162,4.9900499632781035,b,3,19.050126923794135,20.040864279420962,19.70018832279332
15_10,10,1,362,15,17.088192706406147,10.51429883225823,10.087587606893686,19.19942727995913,0.16957936832361645,a,2,19.52145104301901,19.983888844646188,22.554444177750153
16_0,0,1,550,16,14.520525057649369,8.285866340640329,11.360143620474398,26.410531416502536,1.8724025332519827,b,2,19.247725419102444,19.8449714709181,10.841514894199426
16_2,2,1,503,16,11.247946424918696,7.083369635801153,8.76820242744817,21.870274642584548,0.7741944685274735,b,2,19.456490114101054,19.559891015643753,13.147859376623988
16_4,4,1,445,16,10.925806471751862,4.7662008283635,9.222500567999568,12.039617750289775,0.027059352381815067,b,3,20.83541263382013,19.29641451980248,14.021235220877957
16_6,6,1,466,16,6.938851922766915,5.432934245624985,9.764441177109937,18.333732014224516,9.248485253847802,b,2,20.611613473787845,20.086824825573856,18.885487135811836
16_8,8,1,324,16,8.256688830003341,15.838990641111227,10.535252577235898,23.456198700123448,0.5853003195923997,b,3,18.368741716231277,20.05955631109425,18.569138284535295
16_10,10,1,306,16,7.592823637709699,4.38834664663136,9.207391159309683,21.087246096585766,2.499885292303079,a,1,21.321182182175892,19.139753589757273,22.151057802583153
17_0,0,1,487,17,12.011644471798881,14.610389392503018,11.347419873559383,19.969364798185158,4.686261617430723,c,3,20.498737733589525,20.553507349949356,6.210653622151041
17_2,2,1,395,17,15.762843501405223,14.775488486538254,10.444843075119996,22.063785897155604,0.6432309018892252,b,3,16.797819940274568,20.121279505297558,12.847966530655466
17_4,4,1,401,17,6.647209186868622,8.04845184806544,10.512080390714324,14.954516465049194,0.9437588213674564,b,1,17.175857965674822,19.795300262672335,14.367406346395583
17_6,6,1,489,17,8.513815286703375,13.480833947299656,12.178628257723865,19.210745142079695,3.266081946922872,b,3,19.830933375138915,19.580232970348792,17.317901252664427
17_8,8,1,393,17,8.218806725777554,8.665791004418676,10.777798178048196,17.69318883254776,2.866062138777657,b,3,20.5346334486675,20.57892354757206,20.007378203686713
17_10,10,1,330,17,9.918204685969675,9.157269590686353,9.170438289682467,14.325585372810538,8.253344910043998,a,1,19.02963815567226,19.407053256740777,17.443750012603143
18_0,0,1,390,18,7.232739256063757,9.785582291677448,11.410379088609684,22.474308021898835,0.41042329865935806,a,2,19.63332151077909,20.912998908854526,10.625847337722295
18_2,2,1,478,18,14.377980610199625,7.476544541970793,9.401203552451134,19.2882731100779,3.142911752035475,a,3,17.724885227752445,20.567712947835066,10.512839695316638
18_4,4,1,493,18,2.8173060429133656,6.356434070872695,10.912829965234227,25.621574535337537,0.28110045170117026,b,3,20.768115873915725,21.82720818455526,15.442781023096922
18_6,6,1,319,18,11.766086656431124,12.437884930774304,9.745140478093427,19.914851283154537,0.37263858764075836,b,2,21.323103033807488,20.42152520011657,16.35819331576173
18_8,8,1,329,18,7.702107159742151,8.599680039657235,10.689843501610078,15.394409082901579,1.5091864837317064,b,1,22.125333124754704,18.675014498777266,18.727716021044973
18_10,10,1,289,18,8.829367300034736,12.6784861031298,10.817961937189814,23.25655512370319,0.8401137646664256,a,2,22.150276049128546,18.235417886911716,21.812967690305502
19_0,0,1,612,19,11.404731517662986,5.24261146287746,11.282398288047332,10.261834378795214,8.915520434718015,b,3,20.144815146815088,21.01411530735821,9.593144950400164
19_2,2,1,531,19,13.227126957731775,10.468928739752316,9.717536994497856,19.327266999641044,0.3377395017115369,b,2,23.496622496754917,20.847961361906606,9.79690443469893
19_4,4,1,571,19,15.120106522680553,7.7735322294966185,9.99955415995961,23.91583202995801,1.3208377161470137,b,2,21.373560896514515,21.77422944630491,15.324010515972416
19_6,6,1,315,19,8.306061476609848,4.220862394215297,9.986204901960336,18.685305997496307,0.1572705555528371,a,1,16.87506616180736,19.333298199400275,19.110708788490076
19_8,8,1,309,19,8.10113749744415,14.54744231412873,10.15706945773154,13.680133463570424,0.09694969383276093,b,3,21.007877550497916,18.618057023601455,17.425802672430258
19_10,10,1,329,19,10.19293106785317,14.111143012310155,9.431776433346373,17.428154394998323,0.6171737085771766,b,3,19.13198629910953,20.51443453717048,20.196541501967335
20_0,0,1,616,20,6.24524275519276,8.268968213028455,7.728895033675575,14.03426093411823,0.11600131539762182,b,3,18.574310073064026,18.872898429477154,11.620315204930375
20_2,2,1,536,20,13.355629150522603,12.182666564171296,10.532155317083621,15.498434407239367,1.2370122785594315,b,3,18.772449833947068,19.37935760096193,13.133916079927612
20_4,4,1,525,20,6.594020231553687,9.75624018252845,9.84471828179806,19.101783880717797,1.1902223670242604,a,3,19.931773519355048,20.3700779338508,15.343729326644215
20_6,6,1,516,20,12.334067796347147,10.288486247035474,10.113982916126977,28.427954119723772,0.6023750136280726,b,2,20.380094939169606,18.67141824571902,18.120570613386008
20_8,8,1,565,20,12.86590529221516,8.372281790650245,9.414737725895389,17.399294972125276,0.41715048022517204,a,1,19.44503889743259,18.2038624620348,16.39993733410791
20_10,10,1,332,20,4.382960319786038,11.828224351396853,9.376851273648255,23.096262549930803,3.92535382164566,b,3,17.768494069964575,20.895051244754757,24.373061140224454
21_0,0,1,620,21,8.931624547715169,3.6085115024411207,9.149601905757573,20.810783752501187,3.6124931511038874,a,1,15.712449333516425,19.07689447638181,9.050817886857129
21_2,2,1,508,21,14.644130582040358,8.421594756776054,11.472345578579482,28.0515125426104,0.1934924962608911,a,3,20.73992559076193,20.648561165241425,12.64117375377261
21_4,4,1,464,21,14.883627746305041,10.499245592376585,7.9307520544875505,22.69381641320031,1.4546990305410763,b,3,18.16717244785444,21.499925693492568,14.089712924431808
21_6,6,1,567,21,15.05720325554148,14.256176680502193,9.033632149739912,32.91544703002022,2.546588923664027,a,1,21.508538081661516,20.132523052394458,19.121888666616083
21_8,8,1,477,21,18.35678567877707,11.628073315430743,9.616366012179554,17.480288967565375,1.74527828908051,b,1,18.167300651016,18.034884350966873,19.694153702228583
21_10,10,1,451,21,9.402898988482981,9.984306855881677,11.139478690492993,19.432613055069716,2.0422604509886155,b,1,21.48505372736735,19.938566946320023,16.41405886534575
22_0,0,1,405,22,8.313786046252403,11.856817835936697,9.444720856411214,19.53793623124731,3.504488693837753,a,1,23.180095286694055,21.60437312970866,9.18607610122587
22_2,2,1,346,22,12.161488639909248,9.20507631010225,9.91579061252508,22.695869891205206,1.3291550878247795,b,3,23.655313863541263,19.02652087284999,12.886445957163298
22_4,4,1,370,22,4.326665013499318,8.877290810428097,10.274627982355995,18.07348529444352,0.981965975436158,b,2,21.06396085393557,19.82605952691593,15.224827604159636
22_6,6,1,383,22,13.447393990024345,7.110245664390147,10.478775706083766,16.181829546513875,1.670245670228196,a,2,20.44341721188066,20.258887665041645,14.767254163009088
22_8,8,1,308,22,10.17211519706487,6.857967643879849,8.3127918715778,19.62696723236098,0.9750308253843454,b,2,19.411300625754098,19.468598128810573,18.9950270517657
22_10,10,1,264,22,10.565753304676667,8.802332147778829,11.34976044459157,12.119788458275618,2.4515191854370366,a,1,20.853773781125238,20.609101592820604,23.590426625897564
23_0,0,1,378,23,8.166056179216001,13.564218410648204,10.080474648711956,14.329947270659215,0.3572349072270879,a,1,21.35880110441234,20.00256683033756,7.5877750513368145
23_2,2,1,419,23,14.470500303431457,8.270391707018174,10.531407092329296,20.146314896721762,7.944653288135264,b,1,21.05859105672319,20.05015639399543,12.522865947349533
23_4,4,1,247,23,10.587211718660992,13.57768479517999,9.31028223027509,26.950293763206428,2.9657611867540843,b,3,20.212310224953196,20.242669475846395,17.39467609310101
23_6,6,1,252,23,7.042349885351353,9.623257884736661,11.823499995395972,18.761323216975367,0.017677468637913633,a,3,22.586348019472723,19.87815993962634,17.8745399550394
23_8,8,1,129,23,17.45756179507942,7.709980187089164,8.89093554780108,19.841600101178404,2.2073601269585805,c,3,21.504763063149802,19.51346434753955,19.891388844804275
23_10,10,1,156,23,9.367720937646887,6.989082863949817,8.149856286433424,13.812665406722274,0.1708602998405772,b,3,23.63637660918915,19.496932135574692,22.14602523955654
24_0,0,1,599,24,5.973563597610164,9.42814341483258,9.25181021752183,22.977478297667986,0.2996229925672747,b,1,20.361168278836445,21.25705428493524,11.355296612688031
24_2,2,1,487,24,7.768581722292493,7.499578612291753,10.48132463036631,13.194959668176946,0.24410391377676738,b,2,22.459552372745982,20.944820972602486,11.72995060603358
24_4,4,1,425,24,8.932822149337934,18.48776659403133,11.491839706521706,14.108391887266379,0.0741821285837714,b,1,17.388520307506607,18.67257231940045,13.1068023291242
24_6,6,1,411,24,5.685560755476995,11.345550984830204,9.84733621567378,15.869446189593418,1.4614154446169407,b,2,19.586780054680737,20.05321986212474,13.766874955200269
24_8,8,1,367,24,6.1456649492260915,13.674736333012563,8.97684042142325,22.34776461052422,1.2979415892449193,b,3,17.351696804480913,20.984096260013406,18.00508470746635
24_10,10,1,366,24,6.678929222962335,10.471022814146767,11.187964303464886,15.123920406373859,0.36325417301105983,b,2,21.149914748994483,19.033736138280933,25.744680893823602
25_0,0,1,487,25,11.752598153341378,11.262148351676045,8.432709484579018,20.633705191063772,1.159302415037737,b,2,17.129852818925745,20.33236181486801,11.000338036791792
25_2,2,1,470,25,11.105451936000149,8.744604245194372,9.55224455777208,20.428154122331197,0.48177858406190466,b,1,21.71016477330932,20.204793280318,9.99216677960306
25_4,4,1,378,25,7.9386659847724355,9.918448513667096,9.735833685476075,25.41579479008529,2.5399904679098047,a,3,20.62895459327141,20.026904400695386,15.551473367755154
25_6,6,1,531,25,13.355112948828294,9.373177636915019,8.842046455299878,23.99292760849504,1.1414648728558674,b,3,20.36408337617483,19.235242724755697,17.315874183684716
25_8,8,1,343,25,9.057573625528278,10.361829973672384,11.457485304868483,21.798527484989332,1.38510494992296,b,2,18.328003911311985,19.45070079588364,18.956979802517615
25_10,10,1,459,25,9.266152500608436,5.394308941772387,9.451569702975334,18.22648865182088,1.9035542363698432,b,3,19.28389275685325,20.513249278987686,21.1131120264677
26_0,0,1,457,26,5.379833448299386,5.910043647680341,9.58286724331493,19.67901102230514,0.5239541043678928,b,1,20.454656857881726,17.901979907371658,11.555011371539095
26_2,2,1,340,26,7.032398965003131,8.176834834390608,10.597712783955451,24.62860265338406,1.0454326121394475,a,2,21.640948371905782,21.056124082059114,11.819081317872216
26_4,4,1,319,26,7.402047420881116,11.05333966005321,9.538983096670863,15.094821824898688,0.1286145514422698,c,1,19.284187868067765,20.10985826042594,14.78969535110155
26_6,6,1,258,26,13.327520502415277,13.003616735279145,8.429165098190566,17.253288756377437,0.17854450224036011,b,1,22.757115589128524,19.90133894401919,17.52878549243169
26_8,8,1,307,26,11.15479729467777,5.124830669042394,10.628199525100014,20.620095180938605,0.8841191921704357,b,3,18.241953227221067,20.33013782214212,18.443516682931733
26_10,10,1,150,26,8.707897500025926,4.241044348631146,10.15696296427373,16.230297683321734,1.2071777591705064,b,1,19.126259808488133,20.595801544066568,16.782701349835936
27_0,0,1,426,27,13.681103868177237,14.037151109095067,10.224161162343062,21.17271924307521,1.4860028858562329,b,1,19.930220594881565,19.635149129417808,7.164664336127112
27_2,2,1,393,27,8.761649847514224,15.92119139777272,9.334306016700545,14.608762265836754,1.5067116721057598,b,2,23.090863974248258,20.055243486327686,11.685627744695852
27_4,4,1,273,27,11.413039173988675,9.810124568296139,9.400540720264887,24.095923119401533,0.7204587885202918,b,1,22.52286664715053,19.632836006756083,14.442676980189045
27_6,6,1,347,27,14.048801289280577,8.505940987347543,10.399170649945475,18.099015914613766,1.0297946130565023,b,2,21.74788822207988,20.596260841867096,18.847955456503193
27_8,8,1,276,27,12.345879621341536,4.903737678890281,9.67313134235172,18.605343259259506,1.8602496873830958,b,2,20.18627083848293,19.76493155252939,19.15800413618106
27_10,10,1,334,27,5.811418787143756,7.043759830585774,11.634868127537914,22.742276981941405,0.17720439219695347,c,2,19.267712403757578,20.46546532699717,23.337979426027566
28_0,0,1,661,28,10.82325386422656,8.686339831248375,10.706987738531105,20.04521522187813,4.511573734516348,b,1,18.494704130465564,20.29331095259479,12.948853357316487
28_2,2,1,490,28,15.350010880348153,8.351053200710599,9.926187828464654,19.678082214157833,0.5359840405012695,b,1,20.19072448168989,20.998619766866376,10.108061471644339
28_4,4,1,381,28,12.24854425415273,10.01454268206077,10.422485966122675,17.326399016212946,1.860249376611617,b,1,17.43706103105061,19.279869630104308,14.411566315504565
28_6,6,1,407,28,9.104046230774241,11.415416474042239,9.651864149622105,18.909108348247187,0.6996726113210866,a,1,20.239241843975808,20.604292682597634,17.24722259954942
28_8,8,1,405,28,8.827570641559065,5.574221561432925,8.635190579650402,18.97315593813043,0.4212913549185073,b,1,21.894335169059435,19.851425826280902,18.157011878540178
28_10,10,1,384,28,11.862093184252394,9.972621980764274,10.777109018342106,25.97310585406543,1.161605716838474,b,3,19.717537774435225,20.18180716079076,20.08243466903305
29_0,0,1,498,29,9.91426005339938,6.874863434007411,8.274701333053496,21.13067874300504,0.5496870082021308,b,1,18.420157957187037,17.870538459866857,9.199196336949125
29_2,2,1,528,29,5.474637781018942,8.096998402214377,10.431828344724838,14.994485981120263,1.0746738955752488,a,3,24.15507397810955,18.812741952603645,10.870000759240801
29_4,4,1,510,29,11.536374319162663,5.8055616106085814,9.786640247786835,22.04901433346887,0.40109373563688283,a,3,22.556689763710747,18.547849179760256,14.747607907422061
